AlturaObra,Cantidad,Porcentaje
1526,1,0.1445086705202312
1521/39,1,0.1445086705202312
1080,1,0.1445086705202312
1755,1,0.1445086705202312
1654,1,0.1445086705202312
1659/67,1,0.1445086705202312
1679/83,1,0.1445086705202312
1680/82,1,0.1445086705202312
169/75,1,0.1445086705202312
174/92,1,0.1445086705202312
1740/48,1,0.1445086705202312
1762/64,1,0.1445086705202312
151/55,1,0.1445086705202312
1793/97,1,0.1445086705202312
181/83,1,0.1445086705202312
1617/21,1,0.1445086705202312
1614/18,1,0.1445086705202312
1614,1,0.1445086705202312
1559,1,0.1445086705202312
1502,1,0.1445086705202312
1965,1,0.1445086705202312
1970/72,1,0.1445086705202312
1973/89,1,0.1445086705202312
1902,1,0.1445086705202312
1861,1,0.1445086705202312
1869/73,1,0.1445086705202312
1870,1,0.1445086705202312
2130,1,0.1445086705202312
1944,1,0.1445086705202312
1893/97,1,0.1445086705202312
1896,1,0.1445086705202312
1902/10,1,0.1445086705202312
1976,1,0.1445086705202312
1910,1,0.1445086705202312
1930/44,1,0.1445086705202312
1933,1,0.1445086705202312
149/51,1,0.1445086705202312
1470/72,1,0.1445086705202312
329,1,0.1445086705202312
1460,1,0.1445086705202312
1850/52,1,0.1445086705202312
1850,1,0.1445086705202312
185,1,0.1445086705202312
1848,1,0.1445086705202312
1987/89,1,0.1445086705202312
2001/05,1,0.1445086705202312
2028/30,1,0.1445086705202312
1947/59,1,0.1445086705202312
2030/34,1,0.1445086705202312
2030/80,1,0.1445086705202312
2042,1,0.1445086705202312
2058/60,1,0.1445086705202312
2063,1,0.1445086705202312
2063/65,1,0.1445086705202312
2074/80,1,0.1445086705202312
1948/50,1,0.1445086705202312
1947,1,0.1445086705202312
1845,1,0.1445086705202312
1872/76,1,0.1445086705202312
2109/31,1,0.1445086705202312
2967/69,1,0.1445086705202312
289/95,1,0.1445086705202312
2209,1,0.1445086705202312
2130/32,1,0.1445086705202312
2140/42,1,0.1445086705202312
2151/57,1,0.1445086705202312
2154/56,1,0.1445086705202312
2155/57,1,0.1445086705202312
2171,1,0.1445086705202312
2181/83,1,0.1445086705202312
2259/63,1,0.1445086705202312
2383/85,1,0.1445086705202312
221/39,1,0.1445086705202312
2214,1,0.1445086705202312
2217,1,0.1445086705202312
2225,1,0.1445086705202312
2237,1,0.1445086705202312
2246,1,0.1445086705202312
2256/72,1,0.1445086705202312
220,1,0.1445086705202312
2261,1,0.1445086705202312
2384,1,0.1445086705202312
2332,1,0.1445086705202312
2278/80,1,0.1445086705202312
2287,1,0.1445086705202312
2298,1,0.1445086705202312
2299,1,0.1445086705202312
2310,1,0.1445086705202312
2317/21,1,0.1445086705202312
2318/42,1,0.1445086705202312
2263/65,1,0.1445086705202312
2274/76,1,0.1445086705202312
2337,1,0.1445086705202312
2341,1,0.1445086705202312
2341/43,1,0.1445086705202312
2346/72,1,0.1445086705202312
235,1,0.1445086705202312
2358,1,0.1445086705202312
2360,1,0.1445086705202312
2371,1,0.1445086705202312
2743/45,1,0.1445086705202312
2902/24,1,0.1445086705202312
2491,1,0.1445086705202312
2419/21,1,0.1445086705202312
2422/26,1,0.1445086705202312
244/46,1,0.1445086705202312
2456,1,0.1445086705202312
246/48,1,0.1445086705202312
2466/70,1,0.1445086705202312
2472/74,1,0.1445086705202312
2563,1,0.1445086705202312
2406/10,1,0.1445086705202312
2496/500,1,0.1445086705202312
2507/97,1,0.1445086705202312
2519,1,0.1445086705202312
2521/57,1,0.1445086705202312
2525,1,0.1445086705202312
2527,1,0.1445086705202312
2560/74,1,0.1445086705202312
2483/85,1,0.1445086705202312
2574/76,1,0.1445086705202312
2660/76,1,0.1445086705202312
2681,1,0.1445086705202312
259,1,0.1445086705202312
2605/07,1,0.1445086705202312
2625,1,0.1445086705202312
263,1,0.1445086705202312
2633/37,1,0.1445086705202312
2650,1,0.1445086705202312
2652/62,1,0.1445086705202312
2575,1,0.1445086705202312
2583,1,0.1445086705202312
2686/90,1,0.1445086705202312
2687,1,0.1445086705202312
270/72,1,0.1445086705202312
2724,1,0.1445086705202312
2730,1,0.1445086705202312
2738/40,1,0.1445086705202312
2739/45,1,0.1445086705202312
2320,1,0.1445086705202312
275,1,0.1445086705202312
2750,1,0.1445086705202312
2860,1,0.1445086705202312
2772/74,1,0.1445086705202312
2775/77,1,0.1445086705202312
278,1,0.1445086705202312
2791,1,0.1445086705202312
2795/99,1,0.1445086705202312
280,1,0.1445086705202312
2823,1,0.1445086705202312
2826/30,1,0.1445086705202312
2814,1,0.1445086705202312
2846/50,1,0.1445086705202312
2850/76,1,0.1445086705202312
2854/56,1,0.1445086705202312
2855/59,1,0.1445086705202312
2857/61,1,0.1445086705202312
286/88,1,0.1445086705202312
2981/83,1,0.1445086705202312
2764/68,1,0.1445086705202312
2871/75,1,0.1445086705202312
2758,1,0.1445086705202312
2950,1,0.1445086705202312
2919/27,1,0.1445086705202312
2923,1,0.1445086705202312
2930/32,1,0.1445086705202312
2935,1,0.1445086705202312
2936/38,1,0.1445086705202312
2939/43,1,0.1445086705202312
2944,1,0.1445086705202312
2950/52,1,0.1445086705202312
2873,1,0.1445086705202312
2964,1,0.1445086705202312
2964/66,1,0.1445086705202312
1638,1,0.1445086705202312
2970/80,1,0.1445086705202312
2978/82,1,0.1445086705202312
2979,1,0.1445086705202312
2885,1,0.1445086705202312
30/36,1,0.1445086705202312
3005,1,0.1445086705202312
3220/50,1,0.1445086705202312
309,1,0.1445086705202312
3010/20,1,0.1445086705202312
3023/27,1,0.1445086705202312
3025,1,0.1445086705202312
3031,1,0.1445086705202312
3033/35,1,0.1445086705202312
3043,1,0.1445086705202312
3061,1,0.1445086705202312
3147/3211,1,0.1445086705202312
3156/64,1,0.1445086705202312
3090,1,0.1445086705202312
3093/99,1,0.1445086705202312
3095,1,0.1445086705202312
3132,1,0.1445086705202312
3137/39,1,0.1445086705202312
3138,1,0.1445086705202312
3142/60,1,0.1445086705202312
3088,1,0.1445086705202312
3007,1,0.1445086705202312
315,1,0.1445086705202312
3153/55,1,0.1445086705202312
3158/62,1,0.1445086705202312
3161,1,0.1445086705202312
3165/67,1,0.1445086705202312
3183/85,1,0.1445086705202312
3201/05,1,0.1445086705202312
3212,1,0.1445086705202312
3230,1,0.1445086705202312
3151,1,0.1445086705202312
3230/38,1,0.1445086705202312
.2540/42,1,0.1445086705202312
3241,1,0.1445086705202312
3262/66,1,0.1445086705202312
3263,1,0.1445086705202312
3267/69,1,0.1445086705202312
3285/89,1,0.1445086705202312
1638/40,1,0.1445086705202312
573/75,1,0.1445086705202312
1631/37,1,0.1445086705202312
3625,1,0.1445086705202312
3580,1,0.1445086705202312
3581/89,1,0.1445086705202312
3465,1,0.1445086705202312
3601/09,1,0.1445086705202312
3607/11,1,0.1445086705202312
361,1,0.1445086705202312
3616,1,0.1445086705202312
3625/29,1,0.1445086705202312
3475,1,0.1445086705202312
374/80,1,0.1445086705202312
3417,1,0.1445086705202312
4237/55,1,0.1445086705202312
3764/70,1,0.1445086705202312
4005,1,0.1445086705202312
4018/60,1,0.1445086705202312
4051/53,1,0.1445086705202312
3560,1,0.1445086705202312
3555,1,0.1445086705202312
3458/62,1,0.1445086705202312
3725/29,1,0.1445086705202312
3684/700,1,0.1445086705202312
371,1,0.1445086705202312
371/85,1,0.1445086705202312
3457,1,0.1445086705202312
3710,1,0.1445086705202312
3720/26,1,0.1445086705202312
3431/61,1,0.1445086705202312
3726/28,1,0.1445086705202312
3550/54,1,0.1445086705202312
3422/40,1,0.1445086705202312
3726/30,1,0.1445086705202312
3462/64,1,0.1445086705202312
363/67,1,0.1445086705202312
3626/28,1,0.1445086705202312
3470,1,0.1445086705202312
3549,1,0.1445086705202312
4880,1,0.1445086705202312
4072,1,0.1445086705202312
4074,1,0.1445086705202312
4064/68,1,0.1445086705202312
3986,1,0.1445086705202312
3851/55,1,0.1445086705202312
3869/71,1,0.1445086705202312
3921/25,1,0.1445086705202312
3962/66,1,0.1445086705202312
3978,1,0.1445086705202312
3984/88,1,0.1445086705202312
 3966/74,1,0.1445086705202312
4079,1,0.1445086705202312
4884/86,1,0.1445086705202312
6238,1,0.1445086705202312
7/13,1,0.1445086705202312
701/15,1,0.1445086705202312
7053,1,0.1445086705202312
7085,1,0.1445086705202312
711/13,1,0.1445086705202312
340,1,0.1445086705202312
341/57,1,0.1445086705202312
3831,1,0.1445086705202312
3810/50,1,0.1445086705202312
4110/62,1,0.1445086705202312
414,1,0.1445086705202312
4145,1,0.1445086705202312
416,1,0.1445086705202312
4176,1,0.1445086705202312
4198,1,0.1445086705202312
4202/20,1,0.1445086705202312
4226/28,1,0.1445086705202312
4002,1,0.1445086705202312
3396,1,0.1445086705202312
4001/09,1,0.1445086705202312
3841/49,1,0.1445086705202312
3413/15,1,0.1445086705202312
