Parcela,Cantidad,Porcentaje
17E,1,0.1445086705202312
17d,1,0.1445086705202312
18A,1,0.1445086705202312
18g,1,0.1445086705202312
19a,1,0.1445086705202312
1C,1,0.1445086705202312
022a,1,0.1445086705202312
1E,1,0.1445086705202312
1F,1,0.1445086705202312
15K,1,0.1445086705202312
1X,1,0.1445086705202312
22/23,1,0.1445086705202312
1f,1,0.1445086705202312
22B,1,0.1445086705202312
22a,1,0.1445086705202312
24A,1,0.1445086705202312
25b,1,0.1445086705202312
14o,1,0.1445086705202312
25e,1,0.1445086705202312
26/27,1,0.1445086705202312
26a,1,0.1445086705202312
28A,1,0.1445086705202312
28F,1,0.1445086705202312
28b,1,0.1445086705202312
29A,1,0.1445086705202312
29d,1,0.1445086705202312
1h,1,0.1445086705202312
1g,1,0.1445086705202312
10B,1,0.1445086705202312
3K,1,0.1445086705202312
100,1,0.1445086705202312
78,1,0.1445086705202312
31A,1,0.1445086705202312
9B,1,0.1445086705202312
9C,1,0.1445086705202312
30A,1,0.1445086705202312
9H,1,0.1445086705202312
9c,1,0.1445086705202312
9d,1,0.1445086705202312
9e,1,0.1445086705202312
B,1,0.1445086705202312
2o,1,0.1445086705202312
2l,1,0.1445086705202312
33b,1,0.1445086705202312
6B,1,0.1445086705202312
6e,1,0.1445086705202312
6b,1,0.1445086705202312
9A,1,0.1445086705202312
31a,1,0.1445086705202312
1/2/3a,1,0.1445086705202312
9/10,1,0.1445086705202312
8/9/10/15,1,0.1445086705202312
8a,1,0.1445086705202312
32A,1,0.1445086705202312
32C,1,0.1445086705202312
8A15,1,0.1445086705202312
8A,1,0.1445086705202312
44,1,0.1445086705202312
31b,1,0.1445086705202312
7f,1,0.1445086705202312
7c,1,0.1445086705202312
7a,1,0.1445086705202312
7B,1,0.1445086705202312
33C,1,0.1445086705202312
79,1,0.1445086705202312
8b,1,0.1445086705202312
44B,1,0.1445086705202312
45,1,0.1445086705202312
47,1,0.1445086705202312
4/5/6,1,0.1445086705202312
61,1,0.1445086705202312
34b,1,0.1445086705202312
34a,1,0.1445086705202312
2e/2f,1,0.1445086705202312
-33,1,0.1445086705202312
24b,1,0.1445086705202312
2F,1,0.1445086705202312
10/11,1,0.1445086705202312
024/025,1,0.1445086705202312
024a,1,0.1445086705202312
025A,1,0.1445086705202312
028/029,1,0.1445086705202312
037a,1,0.1445086705202312
03A,1,0.1445086705202312
04B-5A,1,0.1445086705202312
5d,1,0.1445086705202312
5c,1,0.1445086705202312
35a,1,0.1445086705202312
38b,1,0.1445086705202312
49,1,0.1445086705202312
3a,1,0.1445086705202312
4a,1,0.1445086705202312
4f,1,0.1445086705202312
3C,1,0.1445086705202312
5/16/6a,1,0.1445086705202312
5/6A/6B,1,0.1445086705202312
35b,1,0.1445086705202312
52,1,0.1445086705202312
36a,1,0.1445086705202312
55,1,0.1445086705202312
59,1,0.1445086705202312
5A,1,0.1445086705202312
5a,1,0.1445086705202312
F,1,0.1445086705202312
