MetrosCuadrados,Cantidad,Porcentaje
220.21,1,0.17761989342806395
204.93,1,0.17761989342806395
219.86,1,0.17761989342806395
217.18,1,0.17761989342806395
216.07,1,0.17761989342806395
214.85,1,0.17761989342806395
211.16,1,0.17761989342806395
210.08,1,0.17761989342806395
236.71,1,0.17761989342806395
259.03,1,0.17761989342806395
257.1,1,0.17761989342806395
256.08,1,0.17761989342806395
254.55,1,0.17761989342806395
254.07,1,0.17761989342806395
249.75,1,0.17761989342806395
206.37,1,0.17761989342806395
247.5,1,0.17761989342806395
244.09,1,0.17761989342806395
243.32,1,0.17761989342806395
240.8,1,0.17761989342806395
239.94,1,0.17761989342806395
239.89,1,0.17761989342806395
238.73,1,0.17761989342806395
244.17,1,0.17761989342806395
264.13,1,0.17761989342806395
269.63,1,0.17761989342806395
